word,yorokobi,ikari,aware,kowa,haji,suki,iya,takaburi,yasu,odoroki
worship,0.5,0,0,0.1,0,1,0,0.1,0,0
wonder,0,0,0,0.2,0,0,0,0.1,0,1
woe,0,0.2,1,0.5,0,0,0.1,0,0,0
warmheartedness,0.1,0,0,0,0,0.5,0,0,1,0
unrest,0,0,0,1,0,0,0.5,0.1,0,0.1
neutral-unconcern,0,0.2,0.2,0.2,0,0,0.2,0,0,0
triumph,0.5,0,0,0,0,0.2,0,0,0,0
tranquillity,0.2,0,0,0,0,0.1,0,0,1,0
timidity,0,0,0,0.1,1,0,0.1,0,0,0
thing,0,0,0,0,0,0,0,0,0,0
sympathy,0,0,0.5,0,0,0,0,0,0,0
negative-suspense,0,0,0.5,0.5,0,0,0.2,0,0,0
surprise,0,0,0,0,0,0,0,0.2,0,1
sulkiness,0,0.5,0,0,0.1,0,0,0,0,0
stupefaction,0,0.1,0,0.5,0,0,0,0,0,1
regret-sorrow,0,0.1,0.5,0.1,0,0,0.2,0.1,0,0
lost-sorrow,0,0,1,0.2,0,0,0.1,0,0,0
solicitude,0,0,0.5,0.1,0,0,0,0,0,0
shyness,0,0,0,0,0.5,0,0,0,0,0
shame,0,0,0,0.1,0.5,0,0.1,0,0,0
self-esteem,0,0,0,0,0,0,0,0.5,0,0
self-disgust,0,0.1,0.5,0.1,0.1,0,0.2,0,0,0
self-depreciation,0,0,0.5,0.1,0.1,0,0.1,0,0,0
scare,0,0,0.1,0.5,0,0,0,0,0,0.5
satisfaction,0.5,0,0,0,0,0.5,0,0.2,0,0
sadness,0,0,1,0.2,0,0,0.2,0.1,0,0
reverence,0.2,0,0,0.1,0,0.5,0,0,0.2,0
resignation,0,0,0.1,0.1,0,0,0.1,0,0.1,0
resentment,0,0.5,0.1,0,0,0,0.1,0.5,0,0
repugnance,0,0.5,0,0,0,0,0.1,0.2,0,0
repentance,0,0.5,0,0,0,0,0.1,0.2,0,0
regard,0.2,0,0,0.2,0,0,0,0.1,0,0
puppy-love,0.5,0,0,0,0.5,0.5,0,0.2,0.1,0
joy-pride,0.5,0,0,0,0,0.1,0,0.5,0,0
placidity,0,0,0,0,0,0,0,0,1,0
pique,0,0.5,0,0.1,0,0,0.1,0.5,0,0.1
pessimism,0,0.1,0.1,0,0,0,0,0.1,0,0
pensiveness,0,0,0,0,0,0,0,0,0.1,0
peace,0.2,0,0,0,0,0.2,0,0,1,0
optimism,0.2,0,0,0,0,0.1,0,0,0.5,0
oppression,0,0.5,0.2,0.5,0,0,0.1,0.2,0,0
murderousness,0,0,0.5,0.5,0,0,0.1,0,0,0
misery,0,0,0.5,0.5,0,0,0.1,0,0,0
mercifulness,0,0,0.5,0,0,0,0.1,0,0.2,0
melancholy,0,0,0.5,0.1,0,0,0.1,0,0,0
malice,0,0.5,0.1,0.2,0,0,0,0,0,0
loyalty,0.2,0,0,0.1,0,0,0,0.2,0,0
love,0.5,0,0,0,0,1,0,0.1,0.5,0
liking,0.5,0,0,0,0,1,0,0.1,0.5,0
levity,0.2,0,0,0,0,0.2,0,0,0,0
joy,1,0,0,0,0,0.5,0,0.5,0,0
